Unnamed: 0,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
43,Alabama,2024-02-05,456,409,"5,550",209,$198.79 ,$16.96 ,$48.03 ,$3.16 ,6,5039877,"$3,528 "
44,Alabama,2024-02-12,546,276,"3,287",606,$190.12 ,$98.07 ,$34.53 ,$5.65 ,6,5039877,"$3,528 "
45,Alabama,2024-02-19,794,"2,781","5,283",516,$297.64 ,$25.36 ,$40.37 ,$10.55 ,11,5039877,"$6,468 "
46,Alabama,2024-02-26,351,"1,150","2,468",266,$144.82 ,$35.99 ,$24.77 ,$11.35 ,4,5039877,"$2,352 "
47,Alabama,2024-03-04,404,"2,007","4,074",306,$116.65 ,$9.48 ,$32.48 ,$3.78 ,1,5039877,$588 
48,Alabama,2024-03-11,702,"2,005","3,817",914,$291.66 ,$46.00 ,$37.22 ,$24.19 ,7,5039877,"$4,116 "
49,Alabama,2024-03-18,754,"1,619","3,860",207,$368.07 ,$36.38 ,$34.54 ,$1.31 ,5,5039877,"$2,940 "
69,Alabama,2024-08-12,"1,102",644,770,93,$327.25 ,$15.17 ,$13.24 ,$2.22 ,4,5039877,"$2,352 "
70,Alabama,2024-08-19,939,115,879,133,$460.04 ,$6.89 ,$12.27 ,$2.69 ,5,5039877,"$2,940 "
71,Alabama,2024-08-26,"1,033",189,830,614,$396.14 ,$26.33 ,$12.30 ,$3.84 ,3,5039877,"$1,764 "
72,Alabama,2024-09-02,"1,211",354,945,111,$527.00 ,$22.88 ,$19.18 ,$1.63 ,6,5039877,"$3,528 "
73,Alabama,2024-09-09,834,650,"1,077",81,$289.84 ,$22.22 ,$21.04 ,$0.33 ,5,5039877,"$2,940 "
74,Alabama,2024-09-16,769,"1,857","1,205",258,$294.43 ,$53.50 ,$28.39 ,$2.63 ,1,5039877,$588 
75,Alabama,2024-09-23,812,"3,372","1,593",194,$255.70 ,$18.28 ,$33.88 ,$1.67 ,3,5039877,"$1,764 "
76,Alabama,2024-09-30,758,"4,257","1,567",482,$267.07 ,$8.31 ,$29.48 ,$9.87 ,0,5039877,$0 
77,Alabama,2024-10-07,748,327,"1,302",159,$295.82 ,$5.41 ,$31.09 ,$4.13 ,1,5039877,$588 
78,Alabama,2024-10-14,711,322,"1,434",202,$443.26 ,$29.04 ,$26.53 ,$2.37 ,3,5039877,"$1,764 "
79,Alabama,2024-10-21,659,65,"6,104",390,$533.39 ,$0.89 ,$25.75 ,$3.64 ,5,5039877,"$2,940 "
80,Alabama,2024-10-28,654,132,684,189,$390.86 ,$0.02 ,$18.51 ,$8.49 ,0,5039877,$0 
81,Alabama,2024-11-04,925,997,719,196,$508.13 ,$55.48 ,$17.09 ,$2.56 ,3,5039877,"$1,764 "
82,Alabama,2024-11-11,"1,269","1,717",730,144,$597.97 ,$87.73 ,$17.34 ,$4.16 ,2,5039877,"$1,176 "
83,Alabama,2024-11-18,"1,128","1,554","4,037",117,$557.56 ,$48.87 ,$14.20 ,$4.96 ,2,5039877,"$1,176 "
84,Alabama,2024-11-25,886,482,"2,027",83,$440.87 ,$46.83 ,$15.41 ,$1.08 ,0,5039877,$0 
85,Alabama,2024-12-02,821,966,"1,692",169,$424.97 ,$41.49 ,$18.86 ,$1.27 ,2,5039877,"$1,176 "
86,Alabama,2024-12-09,842,695,"1,582",126,$445.38 ,$36.72 ,$21.19 ,$3.90 ,1,5039877,$588 
87,Alabama,2024-12-16,838,886,895,51,$456.28 ,$34.11 ,$16.22 ,$1.07 ,5,5039877,"$2,940 "
88,Alabama,2024-12-23,884,97,"1,018",62,$577.77 ,$19.18 ,$20.99 ,$3.25 ,1,5039877,$588 
89,Alabama,2024-12-30,587,160,"1,730",215,$176.65 ,$0.57 ,$13.25 ,$0.81 ,0,5039877,$0 
90,Alabama,2025-01-06,598,614,"2,041",865,$131.42 ,$14.52 ,$13.28 ,$5.41 ,1,5039877,$588 
91,Alabama,2025-01-13,"1,171",691,"2,399",742,$609.88 ,$7.81 ,$15.18 ,$9.27 ,6,5039877,"$3,528 "
92,Alabama,2025-01-20,"1,456",605,"1,607",849,$688.35 ,$2.90 ,$20.44 ,$28.78 ,11,5039877,"$6,468 "
93,Alabama,2025-01-27,"1,445",257,"1,262","1,405",$658.95 ,$4.23 ,$17.28 ,$33.13 ,6,5039877,"$3,528 "
94,Alabama,2025-02-03,"1,103",165,570,"1,211",$522.30 ,$16.24 ,$7.96 ,$15.69 ,6,5039877,"$3,528 "
95,Alabama,2025-02-10,"1,149",87,429,330,$557.83 ,$11.70 ,$42.23 ,$27.97 ,8,5039877,"$4,704 "
96,Alabama,2025-02-17,941,36,331,283,$465.20 ,$9.80 ,$6.55 ,$12.85 ,5,5039877,"$2,940 "
116,Alaska,2024-02-05,174,60,"1,116",44,$32.27 ,$0.14 ,$10.36 ,$0.22 ,0,732673,$0 
117,Alaska,2024-02-12,253,28,714,92,$55.90 ,$0.00 ,$7.13 ,$1.03 ,1,732673,$588 
118,Alaska,2024-02-19,305,306,"1,155",56,$116.53 ,$62.23 ,$11.03 ,$0.26 ,2,732673,"$1,176 "
119,Alaska,2024-02-26,168,54,461,31,$21.08 ,$0.00 ,$4.66 ,$0.15 ,2,732673,"$1,176 "
120,Alaska,2024-03-04,180,162,529,44,$21.87 ,$0.00 ,$3.66 ,$0.72 ,0,732673,$0 
121,Alaska,2024-03-11,312,151,846,139,$65.94 ,$0.00 ,$10.87 ,$0.59 ,2,732673,"$1,176 "
122,Alaska,2024-03-18,317,112,735,32,$47.61 ,$0.00 ,$9.30 ,$0.05 ,0,732673,$0 
142,Alaska,2024-08-12,100,37,251,19,$37.32 ,$1.24 ,$3.99 ,$0.25 ,1,732673,$588 
143,Alaska,2024-08-19,127,10,244,47,$35.38 ,$0.00 ,$3.06 ,$0.57 ,0,732673,$0 
144,Alaska,2024-08-26,119,31,228,253,$58.21 ,$0.00 ,$2.91 ,$1.07 ,0,732673,$0 
145,Alaska,2024-09-02,147,48,248,40,$31.88 ,$0.00 ,$3.85 ,$0.78 ,0,732673,$0 
146,Alaska,2024-09-09,116,79,222,31,$19.83 ,$13.39 ,$2.92 ,$0.16 ,0,732673,$0 
147,Alaska,2024-09-16,84,309,151,40,$44.98 ,$3.41 ,$2.62 ,$1.87 ,2,732673,"$1,176 "
148,Alaska,2024-09-23,96,363,168,27,$61.98 ,$0.44 ,$2.10 ,$0.18 ,0,732673,$0 
149,Alaska,2024-09-30,76,486,155,38,$18.09 ,$0.98 ,$2.99 ,$1.52 ,0,732673,$0 
150,Alaska,2024-10-07,83,33,116,16,$24.28 ,$0.00 ,$1.50 ,$0.34 ,0,732673,$0 
151,Alaska,2024-10-14,95,53,100,24,$71.87 ,$0.00 ,$1.43 ,$0.34 ,0,732673,$0 
152,Alaska,2024-10-21,92,5,227,43,$28.45 ,$0.00 ,$1.46 ,$0.17 ,0,732673,$0 
153,Alaska,2024-10-28,69,14,65,36,$21.16 ,$0.00 ,$1.30 ,$0.10 ,0,732673,$0 
154,Alaska,2024-11-04,130,256,88,38,$2.16 ,$4.05 ,$1.91 ,$0.58 ,0,732673,$0 
155,Alaska,2024-11-11,159,874,89,35,$42.86 ,$6.92 ,$2.04 ,$0.55 ,1,732673,$588 
156,Alaska,2024-11-18,128,338,363,21,$50.92 ,$3.46 ,$3.57 ,$1.28 ,1,732673,$588 
157,Alaska,2024-11-25,90,74,244,33,$23.06 ,$4.03 ,$2.49 ,$0.31 ,0,732673,$0 
158,Alaska,2024-12-02,94,203,245,56,$28.88 ,$0.24 ,$2.76 ,$0.48 ,0,732673,$0 
159,Alaska,2024-12-09,104,94,287,40,$71.07 ,$0.09 ,$4.46 ,$0.24 ,0,732673,$0 
160,Alaska,2024-12-16,112,189,197,21,$11.73 ,$4.84 ,$3.41 ,$2.01 ,0,732673,$0 
161,Alaska,2024-12-23,72,14,201,13,$35.19 ,$0.00 ,$3.09 ,$0.05 ,0,732673,$0 
162,Alaska,2024-12-30,70,73,345,62,$6.05 ,$1.09 ,$1.85 ,$0.26 ,0,732673,$0 
163,Alaska,2025-01-06,50,57,490,290,$9.10 ,$0.40 ,$2.62 ,$0.97 ,1,732673,$588 
164,Alaska,2025-01-13,152,89,476,125,$12.57 ,$2.24 ,$2.64 ,$1.16 ,0,732673,$0 
165,Alaska,2025-01-20,210,66,264,144,$32.48 ,$0.04 ,$2.13 ,$1.60 ,2,732673,"$1,176 "
166,Alaska,2025-01-27,171,17,261,291,$38.58 ,$0.00 ,$2.91 ,$1.77 ,0,732673,$0 
167,Alaska,2025-02-03,135,35,189,282,$25.43 ,$1.51 ,$1.54 ,$1.76 ,1,732673,$588 
168,Alaska,2025-02-10,121,11,89,47,$61.75 ,$0.44 ,$1.53 ,$1.09 ,0,732673,$0 
169,Alaska,2025-02-17,124,9,100,78,$86.43 ,$0.00 ,$1.96 ,$3.21 ,1,732673,$588 
189,Arizona,2024-02-05,"1,018",476,"7,495",326,$378.68 ,$12.86 ,$76.70 ,$5.94 ,4,7359197,"$2,352 "
190,Arizona,2024-02-12,"1,296",339,"5,741","1,239",$419.44 ,$81.69 ,$74.01 ,$15.54 ,11,7359197,"$6,468 "
191,Arizona,2024-02-19,"1,773","3,057","8,711","1,035",$492.84 ,$40.82 ,$79.98 ,$8.92 ,3,7359197,"$1,764 "
192,Arizona,2024-02-26,835,"1,452","3,345",439,$222.41 ,$29.36 ,$40.27 ,$5.31 ,1,7359197,$588 
193,Arizona,2024-03-04,"1,292","2,790","4,751",706,$470.36 ,$11.62 ,$34.98 ,$10.61 ,7,7359197,"$4,116 "
194,Arizona,2024-03-11,"2,171","1,659","6,061","1,439",$714.58 ,$13.09 ,$73.32 ,$8.72 ,13,7359197,"$7,644 "
195,Arizona,2024-03-18,"1,953","1,232","5,612",287,$858.01 ,$14.76 ,$64.25 ,$3.09 ,9,7359197,"$5,292 "
215,Arizona,2024-08-12,"1,238","1,792","1,514",148,$506.70 ,$4.87 ,$27.07 ,$2.04 ,7,7359197,"$4,116 "
216,Arizona,2024-08-19,"1,090",275,"1,647",393,$679.46 ,$1.84 ,$28.24 ,$12.31 ,5,7359197,"$2,940 "
217,Arizona,2024-08-26,"1,281",523,"1,278","1,397",$467.40 ,$2.81 ,$19.65 ,$10.49 ,2,7359197,"$1,176 "
218,Arizona,2024-09-02,"1,530",784,"1,536",352,$561.95 ,$9.59 ,$23.68 ,$9.56 ,1,7359197,$588 
219,Arizona,2024-09-09,"1,076",767,"1,415",201,$436.11 ,$12.97 ,$24.40 ,$1.27 ,7,7359197,"$4,116 "
220,Arizona,2024-09-16,"1,002","3,893","1,220",380,$543.03 ,$57.15 ,$20.65 ,$6.04 ,2,7359197,"$1,176 "
221,Arizona,2024-09-23,"1,169","5,466","1,097",262,$425.03 ,$27.92 ,$16.44 ,$2.70 ,2,7359197,"$1,176 "
222,Arizona,2024-09-30,"1,378","7,183","1,300",438,$389.13 ,$28.34 ,$18.87 ,$9.88 ,1,7359197,$588 
223,Arizona,2024-10-07,"1,507",517,"1,226",195,$413.95 ,$53.29 ,$18.56 ,$6.28 ,2,7359197,"$1,176 "
224,Arizona,2024-10-14,"1,270",542,"1,174",292,$673.14 ,$10.16 ,$21.96 ,$2.31 ,1,7359197,$588 
225,Arizona,2024-10-21,"1,012",82,"3,125",358,$499.04 ,$6.65 ,$15.94 ,$10.65 ,3,7359197,"$1,764 "
226,Arizona,2024-10-28,"1,004",250,619,343,$499.46 ,$19.72 ,$16.93 ,$5.32 ,2,7359197,"$1,176 "
227,Arizona,2024-11-04,"1,349","2,435",968,429,$422.51 ,$49.96 ,$23.69 ,$10.57 ,2,7359197,"$1,176 "
228,Arizona,2024-11-11,"2,080","5,734",816,280,$772.58 ,$82.11 ,$23.79 ,$9.44 ,10,7359197,"$5,880 "
229,Arizona,2024-11-18,"1,678","6,298","4,993",250,$642.22 ,$50.86 ,$27.28 ,$2.88 ,5,7359197,"$2,940 "
230,Arizona,2024-11-25,"1,369","2,185","2,793",240,$512.10 ,$83.61 ,$24.94 ,$5.61 ,0,7359197,$0 
231,Arizona,2024-12-02,"1,322","3,650","2,648",493,$660.13 ,$32.68 ,$26.01 ,$21.17 ,5,7359197,"$2,940 "
232,Arizona,2024-12-09,"1,390","1,962","2,814",303,$572.68 ,$20.86 ,$24.87 ,$3.99 ,3,7359197,"$1,764 "
233,Arizona,2024-12-16,"1,332","1,857","1,610",142,$586.52 ,$6.83 ,$25.41 ,$6.71 ,4,7359197,"$2,352 "
234,Arizona,2024-12-23,"1,242",388,"1,892",147,$448.66 ,$1.98 ,$26.72 ,$4.36 ,2,7359197,"$1,176 "
235,Arizona,2024-12-30,921,738,"3,630",544,$343.36 ,$18.86 ,$22.22 ,$21.40 ,0,7359197,$0 
236,Arizona,2025-01-06,912,"1,877","4,526","2,230",$215.71 ,$14.90 ,$25.16 ,$19.44 ,0,7359197,$0 
237,Arizona,2025-01-13,"1,927","2,299","3,831","1,339",$692.70 ,$9.30 ,$23.83 ,$15.88 ,5,7359197,"$2,940 "
238,Arizona,2025-01-20,"2,359","1,841","2,878","1,093",$867.72 ,$5.41 ,$18.99 ,$27.56 ,6,7359197,"$3,528 "
239,Arizona,2025-01-27,"2,444",747,"2,378","2,022",$761.63 ,$4.47 ,$21.02 ,$31.71 ,4,7359197,"$2,352 "
240,Arizona,2025-02-03,"1,495",364,925,"1,731",$504.70 ,$1.84 ,$11.93 ,$22.05 ,8,7359197,"$4,704 "
241,Arizona,2025-02-10,"1,565",164,658,475,$525.40 ,$4.55 ,$14.11 ,$23.25 ,6,7359197,"$3,528 "
242,Arizona,2025-02-17,"1,259",57,619,480,$455.51 ,$2.84 ,$12.77 ,$21.33 ,6,7359197,"$3,528 "
262,Arkansas,2024-02-05,241,101,"2,772",133,$105.67 ,$10.48 ,$24.08 ,$0.65 ,1,3011524,$588 
263,Arkansas,2024-02-12,263,65,"1,724",320,$67.57 ,$0.00 ,$20.89 ,$2.85 ,1,3011524,$588 
264,Arkansas,2024-02-19,389,"1,334","2,581",197,$87.49 ,$37.79 ,$24.59 ,$1.51 ,2,3011524,"$1,176 "
265,Arkansas,2024-02-26,173,524,"1,051",110,$47.34 ,$12.19 ,$13.37 ,$2.75 ,2,3011524,"$1,176 "
266,Arkansas,2024-03-04,169,"1,171","1,834",132,$41.99 ,$19.96 ,$13.79 ,$1.72 ,1,3011524,$588 
267,Arkansas,2024-03-11,306,983,"1,983",387,$185.44 ,$8.30 ,$18.62 ,$1.71 ,2,3011524,"$1,176 "
268,Arkansas,2024-03-18,324,494,"2,058",71,$156.05 ,$28.94 ,$19.07 ,$0.08 ,5,3011524,"$2,940 "
288,Arkansas,2024-08-12,518,168,406,45,$181.56 ,$0.37 ,$6.63 ,$1.63 ,2,3011524,"$1,176 "
