,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
0,Akrotiri and Dhekelia,2024-08-19,3,,,,$1.69 , --, --, --,0,18195,$0 
1,Akrotiri and Dhekelia,2024-08-26,5,,1,,$0.00 , --,$0.00 , --,0,18195,$0 
2,Akrotiri and Dhekelia,2024-09-02,1,,1,,$4.40 , --,$0.00 , --,0,18195,$0 
3,Akrotiri and Dhekelia,2024-09-09,1,,4,,$0.00 , --,$0.01 , --,0,18195,$0 
4,Akrotiri and Dhekelia,2024-09-16,6,1,,,$0.00 ,$0.00 , --, --,0,18195,$0 
5,Akrotiri and Dhekelia,2024-09-23,3,,5,,$0.00 , --,$0.01 , --,0,18195,$0 
6,Akrotiri and Dhekelia,2024-09-30,4,,4,,$6.49 , --,$0.00 , --,1,18195,$588 
7,Akrotiri and Dhekelia,2024-10-07,,,3,, --, --,$0.01 , --,0,18195,$0 
8,Akrotiri and Dhekelia,2024-10-14,3,,1,,$5.03 , --,$0.00 , --,0,18195,$0 
9,Akrotiri and Dhekelia,2024-10-21,3,20,1,,$6.17 ,$0.09 ,$0.00 , --,0,18195,$0 
10,Akrotiri and Dhekelia,2024-10-28,,1,,, --,$0.00 , --, --,0,18195,$0 
11,Akrotiri and Dhekelia,2024-11-18,,,11,, --, --,$0.04 , --,0,18195,$0 
12,Akrotiri and Dhekelia,2024-11-25,1,,6,,$1.16 , --,$0.02 , --,0,18195,$0 
13,Akrotiri and Dhekelia,2024-12-02,2,1,,,$0.00 ,$0.00 , --, --,0,18195,$0 
14,Akrotiri and Dhekelia,2024-12-09,1,2,,,$0.00 ,$0.00 , --, --,0,18195,$0 
15,Akrotiri and Dhekelia,2024-12-16,1,3,,,$0.00 ,$0.00 , --, --,0,18195,$0 
16,Akrotiri and Dhekelia,2024-12-23,,,1,, --, --,$0.02 , --,0,18195,$0 
