geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
Alabama,9/25/23,105,39,,,$23.65,$4.13, --, --,1,5039877,$588
Alaska,9/25/23,22,1,,,$5.91,$0.00, --, --,0,732673,$0
Arizona,9/25/23,187,93,,,$39.20,$1.22, --, --,0,7359197,$0
Arkansas,9/25/23,58,21,,,$13.38,$0.78, --, --,0,3011524,$0
California,9/25/23,"1,820",548,,,$346.65,$7.94, --, --,3,39538223,"$1,764"
Colorado,9/25/23,134,81,,,$35.33,$1.24, --, --,0,5807719,$0
Connecticut,9/25/23,114,44,,,$24.10,$0.00, --, --,1,3605597,$588
Delaware,9/25/23,24,18,,,$1.34,$0.00, --, --,1,1003384,$588
District of Columbia,9/25/23,83,10,,,$27.83,$0.00, --, --,0,689545,$0
Florida,9/25/23,"2,944",620,,,$360.09,$14.82, --, --,9,21781128,"$5,292"
Georgia,9/25/23,328,205,,,$114.06,$3.77, --, --,4,10711908,"$2,352"
Hawaii,9/25/23,425,7,,,$112.76,$0.00, --, --,11,1455271,"$6,468"
Idaho,9/25/23,25,,,,$3.22, --, --, --,0,1839106,$0
Illinois,9/25/23,297,389,,,$132.84,$6.50, --, --,2,12671469,"$1,176"
Indiana,9/25/23,118,180,,,$56.20,$0.00, --, --,1,6785528,$588
Iowa,9/25/23,30,37,,,$7.03,$0.19, --, --,0,3190369,$0
Kansas,9/25/23,41,26,,,$18.37,$0.00, --, --,0,2937880,$0
Kentucky,9/25/23,86,59,,,$32.16,$0.00, --, --,0,4505836,$0
Louisiana,9/25/23,"6,669",42,,,$241.35,$0.00, --, --,1,4657757,$588
Maine,9/25/23,33,44,,,$6.88,$0.00, --, --,1,1372247,$588
Maryland,9/25/23,169,149,,,$105.00,$0.00, --, --,1,6165129,$588
Massachusetts,9/25/23,484,170,,,$81.39,$0.00, --, --,2,6984723,"$1,176"
Michigan,9/25/23,195,158,,,$64.15,$9.98, --, --,1,10077331,$588
Minnesota,9/25/23,200,52,,,$41.07,$0.00, --, --,1,5706398,$588
Mississippi,9/25/23,29,29,,,$9.83,$0.00, --, --,1,2949965,$588
Missouri,9/25/23,105,101,,,$29.86,$0.47, --, --,1,6168187,$588
Montana,9/25/23,19,16,,,$2.72,$0.00, --, --,0,1084225,$0
Nebraska,9/25/23,39,21,,,$26.75,$0.00, --, --,0,1961504,$0
Nevada,9/25/23,117,13,,,$33.73,$0.18, --, --,2,3104614,"$1,176"
New Hampshire,9/25/23,20,17,,,$4.44,$0.00, --, --,0,1388992,$0
New Jersey,9/25/23,294,180,,,$71.18,$2.80, --, --,3,9288994,"$1,764"
New Mexico,9/25/23,21,20,,,$3.56,$0.00, --, --,0,2117522,$0
New York,9/25/23,778,842,,,$209.55,$11.56, --, --,0,19835913,$0
North Carolina,9/25/23,275,237,,,$52.24,$0.00, --, --,5,10551162,"$2,940"
North Dakota,9/25/23,11,4,,,$0.00,$0.00, --, --,0,779702,$0
Ohio,9/25/23,209,201,,,$71.18,$0.00, --, --,2,11780017,"$1,176"
Oklahoma,9/25/23,74,43,,,$15.35,$0.00, --, --,1,3986639,$588
Oregon,9/25/23,54,67,,,$4.17,$0.69, --, --,0,4237256,$0
Pennsylvania,9/25/23,231,307,,,$103.86,$4.68, --, --,4,12964056,"$2,352"
Rhode Island,9/25/23,14,24,,,$2.51,$0.00, --, --,0,1098163,$0
San Francisco Bay Area,9/25/23,232,93,,,$101.31,$1.28, --, --,3,7753000,"$1,764"
Silicon Valley,9/25/23,52,16,,,$15.82,$0.00, --, --,0,3137600,$0
South Carolina,9/25/23,167,59,,,$58.73,$0.00, --, --,2,5190705,"$1,176"
South Dakota,9/25/23,16,,,,$3.84, --, --, --,0,903027,$0
Tennessee,9/25/23,125,91,,,$20.03,$0.00, --, --,0,6975218,$0
Texas,9/25/23,719,431,,,$159.04,$5.61, --, --,2,29527941,"$1,176"
Utah,9/25/23,69,18,,,$16.52,$0.00, --, --,0,3337975,$0
Vermont,9/25/23,14,28,,,$0.48,$0.00, --, --,0,643077,$0
Virginia,9/25/23,208,167,,,$56.96,$4.70, --, --,1,8642274,$588
Washington,9/25/23,245,96,,,$59.57,$0.41, --, --,2,7796941,"$1,176"
West Virginia,9/25/23,33,15,,,$4.15,$0.00, --, --,0,1782959,$0
Wisconsin,9/25/23,78,45,,,$7.04,$0.00, --, --,0,5893718,$0
Wyoming,9/25/23,15,9,,,$2.32,$0.00, --, --,0,577719,$0
Alabama,10/2/23,555,134,495,,$141.48,$0.31,$4.34, --,5,5039877,"$2,940"
Alaska,10/2/23,136,12,111,,$18.19,$0.00,$1.28, --,0,732673,$0
Arizona,10/2/23,871,293,821,,$289.00,$5.54,$14.71, --,6,7359197,"$3,528"
Arkansas,10/2/23,229,40,279,,$69.31,$0.00,$2.63, --,0,3011524,$0
California,10/2/23,"31,572",841,"7,070",,"$2,717.44",$26.11,$73.99, --,75,39538223,"$44,100"
Colorado,10/2/23,680,190,729,,$161.15,$0.51,$7.74, --,1,5807719,$588
Connecticut,10/2/23,588,145,434,,$344.48,$0.00,$4.78, --,1,3605597,$588
Delaware,10/2/23,151,43,113,,$41.49,$0.00,$1.18, --,1,1003384,$588
District of Columbia,10/2/23,476,31,236,,$146.87,$0.00,$2.30, --,2,689545,"$1,176"
Florida,10/2/23,"13,055","1,550","2,672",,"$1,971.19",$43.69,$30.52, --,36,21781128,"$21,168"
Georgia,10/2/23,"1,710",832,"1,388",,$575.88,$51.89,$13.89, --,8,10711908,"$4,704"
Hawaii,10/2/23,"2,227",88,"1,012",,$483.04,$1.21,$9.00, --,19,1455271,"$11,172"
Idaho,10/2/23,143,28,111,,$46.12,$0.00,$1.04, --,1,1839106,$588
Illinois,10/2/23,"1,765",835,"1,765",,$527.07,$34.57,$17.54, --,14,12671469,"$8,232"
