Unnamed: 0,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
24,Alabama,2023-09-25,105.00,39.00,0.00,0.00,23.65,4.13,0.00,0.00,1.00,5039877.00,588.00
25,Alabama,2023-10-02,555.00,134.00,495.00,0.00,141.48,0.31,4.34,0.00,5.00,5039877.00,2940.00
26,Alabama,2023-10-09,368.00,23.00,1033.00,0.00,81.14,15.50,10.26,0.00,1.00,5039877.00,588.00
27,Alabama,2023-10-16,301.00,95.00,576.00,0.00,126.01,8.14,5.97,0.00,1.00,5039877.00,588.00
28,Alabama,2023-10-23,319.00,2468.00,428.00,0.00,148.77,29.32,5.69,0.00,1.00,5039877.00,588.00
29,Alabama,2023-10-30,389.00,5428.00,410.00,0.00,101.49,9.50,6.03,0.00,2.00,5039877.00,1176.00
30,Alabama,2023-11-06,367.00,63.00,422.00,0.00,140.07,0.00,5.16,0.00,2.00,5039877.00,1176.00
31,Alabama,2023-11-13,383.00,77.00,390.00,0.00,177.16,19.13,5.48,0.00,0.00,5039877.00,0.00
32,Alabama,2023-11-20,487.00,89.00,334.00,0.00,225.31,16.04,6.56,0.00,5.00,5039877.00,2940.00
33,Alabama,2023-11-27,447.00,93.00,361.00,0.00,227.35,4.39,5.53,0.00,5.00,5039877.00,2940.00
34,Alabama,2023-12-04,524.00,187.00,438.00,0.00,272.49,3.56,6.91,0.00,3.00,5039877.00,1764.00
35,Alabama,2023-12-11,471.00,189.00,474.00,0.00,273.99,5.36,7.55,0.00,7.00,5039877.00,4116.00
36,Alabama,2023-12-18,547.00,163.00,816.00,0.00,308.27,0.00,11.01,0.00,8.00,5039877.00,4704.00
37,Alabama,2023-12-25,1288.00,354.00,1898.00,0.00,570.06,10.54,20.41,0.00,4.00,5039877.00,2352.00
38,Alabama,2024-01-01,1433.00,75.00,2378.00,0.00,761.27,0.00,23.22,0.00,9.00,5039877.00,5292.00
39,Alabama,2024-01-08,922.00,596.00,1733.00,0.00,412.74,52.73,23.75,0.00,4.00,5039877.00,2352.00
40,Alabama,2024-01-15,743.00,947.00,1662.00,0.00,312.97,12.60,21.41,0.00,7.00,5039877.00,4116.00
41,Alabama,2024-01-22,510.00,280.00,7717.00,0.00,166.36,16.37,32.71,0.00,3.00,5039877.00,1764.00
42,Alabama,2024-01-29,503.00,284.00,3930.00,0.00,204.81,51.12,29.30,0.00,3.00,5039877.00,1764.00
43,Alabama,2024-02-05,456.00,409.00,5550.00,209.00,198.79,16.96,48.03,3.16,6.00,5039877.00,3528.00
44,Alabama,2024-02-12,546.00,276.00,3287.00,606.00,190.12,98.07,34.53,5.65,6.00,5039877.00,3528.00
45,Alabama,2024-02-19,794.00,2781.00,5283.00,516.00,297.64,25.36,40.37,10.55,11.00,5039877.00,6468.00
46,Alabama,2024-02-26,351.00,1150.00,2468.00,266.00,144.82,35.99,24.77,11.35,4.00,5039877.00,2352.00
47,Alabama,2024-03-04,404.00,2007.00,4074.00,306.00,116.65,9.48,32.48,3.78,1.00,5039877.00,588.00
48,Alabama,2024-03-11,702.00,2005.00,3817.00,914.00,291.66,46.00,37.22,24.19,7.00,5039877.00,4116.00
49,Alabama,2024-03-18,754.00,1619.00,3860.00,207.00,368.07,36.38,34.54,1.31,5.00,5039877.00,2940.00
50,Alabama,2024-03-25,619.00,1244.00,2975.00,0.00,350.80,28.58,34.06,0.00,8.00,5039877.00,4704.00
51,Alabama,2024-04-01,373.00,1180.00,1500.00,0.00,270.97,4.98,14.84,0.00,4.00,5039877.00,2352.00
52,Alabama,2024-04-08,375.00,162.00,1184.00,0.00,219.61,1.57,11.53,0.00,2.00,5039877.00,1176.00
53,Alabama,2024-04-15,364.00,147.00,1097.00,0.00,198.74,12.08,10.53,0.00,2.00,5039877.00,1176.00
